process_ID, arrival_time, burst_time, priority
1, 76, 8, 1
2, 41, 10, 2
3, 3, 7, 3
4, 27, 10, 3
5, 35, 4, 2
6, 44, 7, 4
7, 63, 2, 4
8, 96, 2, 2
9, 44, 9, 4
10, 15, 9, 3
11, 100, 1, 2
12, 15, 5, 4
13, 47, 10, 1
14, 22, 5, 1
15, 16, 9, 2
16, 28, 10, 4
17, 16, 2, 1
18, 1, 4, 1
19, 7, 9, 3
20, 40, 2, 4
21, 59, 3, 1
22, 33, 5, 1
23, 11, 5, 3
24, 66, 8, 1
25, 30, 7, 1
26, 19, 8, 2
27, 60, 2, 4
28, 98, 1, 3
29, 63, 9, 3
30, 15, 4, 3
31, 21, 9, 1
32, 28, 10, 1
33, 66, 5, 4
34, 43, 3, 2
35, 22, 3, 4
36, 76, 10, 3
37, 21, 1, 2
38, 25, 9, 1
39, 70, 7, 1
40, 74, 2, 2
41, 6, 6, 1
42, 17, 2, 2
43, 66, 4, 3
44, 33, 5, 3
45, 80, 5, 2
46, 10, 7, 3
47, 31, 7, 1
48, 69, 5, 2
49, 59, 7, 4
50, 35, 3, 4
51, 52, 5, 4
52, 30, 6, 1
53, 13, 8, 2
54, 74, 10, 2
55, 21, 7, 4
56, 2, 1, 1
57, 9, 7, 3
58, 71, 3, 3
59, 81, 2, 2
60, 85, 9, 4
61, 57, 3, 1
62, 28, 9, 2
63, 4, 1, 4
64, 16, 9, 2
65, 66, 7, 3
66, 55, 9, 4
67, 40, 2, 1
68, 37, 6, 2
69, 94, 9, 4
70, 43, 5, 4
71, 90, 5, 4
72, 90, 6, 3
73, 71, 1, 1
74, 10, 3, 1
75, 43, 8, 1
76, 76, 8, 4
77, 23, 6, 1
78, 76, 10, 1
79, 1, 3, 2
80, 0, 4, 1
81, 83, 6, 1
82, 2, 2, 2
83, 21, 3, 1
84, 18, 10, 2
85, 74, 8, 1
86, 65, 5, 1
87, 85, 3, 2
88, 3, 8, 4
89, 4, 6, 1
90, 19, 2, 2
91, 56, 4, 3
92, 97, 5, 4
93, 69, 10, 4
94, 78, 8, 3
95, 95, 4, 4
96, 96, 8, 2
97, 51, 6, 2
98, 60, 9, 3
99, 3, 1, 4
100, 1, 9, 2
